"revenue_per_day","date","country"
"7.97","2007-02-14","China"
"14.97","2007-02-14","India"
"2.99","2007-02-14","United States"
"102.75","2007-02-15","China"
"99.75","2007-02-15","India"
"68.80","2007-02-15","United States"
"111.74","2007-02-16","China"
"132.70","2007-02-16","India"
"49.84","2007-02-16","United States"
"115.69","2007-02-17","China"
"65.85","2007-02-17","India"
"101.76","2007-02-17","United States"
"74.83","2007-02-18","China"
"131.70","2007-02-18","India"
"77.79","2007-02-18","United States"
"130.72","2007-02-19","China"
"80.77","2007-02-19","India"
"63.83","2007-02-19","United States"
"116.71","2007-02-20","China"
"83.73","2007-02-20","India"
"78.85","2007-02-20","United States"
"82.82","2007-02-21","China"
"57.85","2007-02-21","India"
"30.91","2007-02-21","United States"
"238.42","2007-03-01","China"
"296.39","2007-03-01","India"
"204.53","2007-03-01","United States"
"223.50","2007-03-02","China"
"256.38","2007-03-02","India"
"169.58","2007-03-02","United States"
"23.94","2007-03-16","China"
"18.93","2007-03-16","India"
"30.94","2007-03-16","United States"
"253.41","2007-03-17","China"
"238.46","2007-03-17","India"
"182.60","2007-03-17","United States"
"181.54","2007-03-18","China"
"341.28","2007-03-18","India"
"137.61","2007-03-18","United States"
"191.54","2007-03-19","China"
"261.37","2007-03-19","India"
"149.67","2007-03-19","United States"
"243.38","2007-03-20","China"
"292.39","2007-03-20","India"
"146.63","2007-03-20","United States"
"274.30","2007-03-21","China"
"371.21","2007-03-21","India"
"208.55","2007-03-21","United States"
"237.39","2007-03-22","China"
"236.41","2007-03-22","India"
"107.75","2007-03-22","United States"
"194.52","2007-03-23","China"
"234.41","2007-03-23","India"
"181.59","2007-03-23","United States"
"34.92","2007-04-05","China"
"35.93","2007-04-05","India"
"21.96","2007-04-05","United States"
"175.56","2007-04-06","China"
"186.56","2007-04-06","India"
"112.73","2007-04-06","United States"
"191.54","2007-04-07","China"
"200.53","2007-04-07","India"
"92.81","2007-04-07","United States"
"117.63","2007-04-08","China"
"170.59","2007-04-08","India"
"135.66","2007-04-08","United States"
"175.52","2007-04-09","China"
"152.60","2007-04-09","India"
"127.71","2007-04-09","United States"
"179.53","2007-04-10","China"
"215.45","2007-04-10","India"
"101.76","2007-04-10","United States"
"132.61","2007-04-11","China"
"194.50","2007-04-11","India"
"135.74","2007-04-11","United States"
"165.65","2007-04-12","China"
"154.63","2007-04-12","India"
"115.69","2007-04-12","United States"
"11.96","2007-04-26","China"
"47.90","2007-04-26","India"
"18.96","2007-04-26","United States"
"202.44","2007-04-27","China"
"282.33","2007-04-27","India"
"153.64","2007-04-27","United States"
"162.55","2007-04-28","China"
"247.36","2007-04-28","India"
"156.63","2007-04-28","United States"
"216.44","2007-04-29","China"
"243.44","2007-04-29","India"
"155.67","2007-04-29","United States"
"638.64","2007-04-30","China"
"625.64","2007-04-30","India"
"333.24","2007-04-30","United States"
"40.87","2007-05-14","China"
"62.77","2007-05-14","India"
"28.89","2007-05-14","United States"
